OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Species
a46a170cd9578284e15a446d44a8b668,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,s__uncultured_bacterium
a7a3ca4d194d6c7e152a3b01f451c5ed,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,s__uncultured_organism
b6f5d19d4138b375e79246dff4fa24ac,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,s__uncultured_bacterium
c285875811a785c9f2fdf6f3090be2c1,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,s__uncultured_bacterium
c28724a33b1ce0b7e7beb08127f22bcc,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,s__uncultured_bacterium
c29145dfdf53fedcd06ec9ae0a0f0d20,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,
c401b82af65f1aa6295cb06138821924,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,s__uncultured_organism
cc0d90634a832ce5f95f587ac6fe28c8,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,s__uncultured_delta
e06e1978ee8a743ed2865e1b5953bc0e,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,
f62b455bce46895d36a1cad4570d471e,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,s__uncultured_marine
8032df9e3449bfb87888743d841cd8f0,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__0319-7L14,f__0319-7L14,g__0319-7L14,s__uncultured_bacterium
e79a3da38aea4f00df5f3781b035b8f5,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__0319-7L14,f__0319-7L14,g__0319-7L14,
0ceb70d63fa8575ba3071918944c87be,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__053A03-B-DI-P58,f__053A03-B-DI-P58,g__053A03-B-DI-P58,
c28effb2d9e24270db5b606d20812179,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__053A03-B-DI-P58,f__053A03-B-DI-P58,g__053A03-B-DI-P58,s__uncultured_marine
da3f51d297d7b6c3ed17ad48d5dd8a73,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__053A03-B-DI-P58,f__053A03-B-DI-P58,g__053A03-B-DI-P58,s__uncultured_bacterium
057986b23b841a79eb33baa5acf502aa,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__053A03-B-DI-P58,f__053A03-B-DI-P58,g__053A03-B-DI-P58,s__uncultured_delta
0918df015c101e0c118c667ccd5fd59d,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__053A03-B-DI-P58,f__053A03-B-DI-P58,g__053A03-B-DI-P58,
db1705b70381fdd1866b83f27e44fecc,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__053A03-B-DI-P58,f__053A03-B-DI-P58,g__053A03-B-DI-P58,s__uncultured_bacterium
af289e0e72eb2b5b771030abc335ceea,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__053A03-B-DI-P58,f__053A03-B-DI-P58,g__053A03-B-DI-P58,s__uncultured_delta
01bd5e3a2cfcef749274e504e4eabde0,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__053A03-B-DI-P58,f__053A03-B-DI-P58,g__053A03-B-DI-P58,s__uncultured_marine
1a0adcdff3e9deefd0b74aad1069cbe8,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__053A03-B-DI-P58,f__053A03-B-DI-P58,g__053A03-B-DI-P58,s__uncultured_delta
c78614fb232a527b0505563ca94c4b56,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__053A03-B-DI-P58,f__053A03-B-DI-P58,g__053A03-B-DI-P58,s__uncultured_marine
05093989df17a358caf1056992eb3872,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__053A03-B-DI-P58,f__053A03-B-DI-P58,g__053A03-B-DI-P58,s__uncultured_marine
c550e30b79ef1abb4ade42292432ffb1,d__Bacteria,p__Verrucomicrobiota,c__Kiritimatiellae,o__113B434,f__113B434,g__113B434,s__uncultured_bacterium
fff123e7760e2f8d25732b093249e4da,d__Bacteria,p__Myxococcota,c__Myxococcia,o__Myxococcales,f__27F-1492R,g__27F-1492R,s__uncultured_delta
c5f68e0c74d1aee755bbb3f9160cc2f3,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__28-YEA-48,s__Afipia_genosp.
28f8a975b8a4ca484bede66723d49484,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__37-13,g__37-13,s__uncultured_Bacteroidetes
277346c05b014dfb205005d870acc9a0,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__MSBL9,f__4572-13,g__4572-13,s__uncultured_bacterium
ceba7302b05e8b63ed8a28254ae4f30c,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__MSBL9,f__4572-13,g__4572-13,s__uncultured_bacterium
04af518c5001844aef662770c6abf783,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__MSBL9,f__4572-13,g__4572-13,s__uncultured_bacterium
730cfd5e858b616c16da1fe3929e3ad9,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__MSBL9,f__4572-13,g__4572-13,s__uncultured_bacterium
81a60921a6632a3c19269b6da04bd691,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__67-14,s__uncultured_actinobacterium
80cbd16a7814d4e8ea62d45cc91056c1,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__67-14,s__uncultured_actinobacterium
ee4c323e8bb93997f0b8bcb9a5efddb0,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__67-14,
49a294dee836ca57d37144425602371f,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__67-14,s__uncultured_bacterium
733790098db0a1e9607b0d0520f8f271,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__67-14,s__uncultured_bacterium
6bdbd7db1942d234aa16f82567ff21bc,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__67-14,s__uncultured_Rubrobacteria
bf04985fd58dcc698557f0e092e889b4,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__67-14,s__metagenome
daae3699c460e7d41ec585f2d1241c4f,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__67-14,s__uncultured_Rubrobacteria
